Id,MSSubClass,MSZoning,LotArea,SaleCondition,SalePrice
1,60,RL,8450,Normal,208500
2,20,RL,9600,Normal,181500
3,60,RL,11250,Normal,223500
4,70,RL,9550,Abnorml,140000
5,60,RL,14260,Normal,250000
6,50,RL,14115,Normal,143000
7,20,RL,10084,Normal,307000
8,60,RL,10382,Normal,200000
9,50,RM,6120,Abnorml,129900
10,190,RL,7420,Normal,118000
11,20,RL,11200,Normal,129500
12,60,RL,11924,Partial,345000
13,20,RL,12968,Normal,144000
14,20,RL,10652,Partial,279500
15,20,RL,10920,Normal,157000
16,45,RM,6120,Normal,132000
17,20,RL,11241,Normal,149000
18,90,RL,10791,Normal,90000
19,20,RL,13695,Normal,159000
20,20,RL,7560,Abnorml,139000
21,60,RL,14215,Partial,325300
22,45,RM,7449,Normal,139400
23,20,RL,9742,Normal,230000
24,120,RM,4224,Normal,129900
25,20,RL,8246,Normal,154000
26,20,RL,14230,Normal,256300
27,20,RL,7200,Normal,134800
28,20,RL,11478,Normal,306000
29,20,RL,16321,Normal,207500
30,30,RM,6324,Normal,68500
31,70,C (all),8500,Normal,40000
32,20,RL,8544,Normal,149350
33,20,RL,11049,Normal,179900
34,20,RL,10552,Normal,165500
35,120,RL,7313,Normal,277500
36,60,RL,13418,Normal,309000
37,20,RL,10859,Normal,145000
38,20,RL,8532,Normal,153000
39,20,RL,7922,Abnorml,109000
40,90,RL,6040,AdjLand,82000
41,20,RL,8658,Abnorml,160000
42,20,RL,16905,Normal,170000
43,85,RL,9180,Normal,144000
44,20,RL,9200,Normal,130250
45,20,RL,7945,Normal,141000
46,120,RL,7658,Normal,319900
47,50,RL,12822,Abnorml,239686
48,20,FV,11096,Normal,249700
49,190,RM,4456,Partial,113000
50,20,RL,7742,Normal,127000
51,60,RL,13869,Normal,177000
52,50,RM,6240,Normal,114500
53,90,RM,8472,Normal,110000
54,20,RL,50271,Normal,385000
55,80,RL,7134,Normal,130000
56,20,RL,10175,Normal,180500
57,160,FV,2645,Abnorml,172500
58,60,RL,11645,Normal,196500
59,60,RL,13682,Partial,438780
60,20,RL,7200,Normal,124900
61,20,RL,13072,Partial,158000
62,75,RM,7200,Normal,101000
63,120,RL,6442,Normal,202500
64,70,RM,10300,Normal,140000
65,60,RL,9375,Normal,219500
66,60,RL,9591,Normal,317000
67,20,RL,19900,Normal,180000
68,20,RL,10665,Normal,226000
69,30,RM,4608,Normal,80000
70,50,RL,15593,Normal,225000
71,20,RL,13651,Normal,244000
72,20,RL,7599,Normal,129500
73,60,RL,10141,Normal,185000
74,20,RL,10200,Normal,144900
75,50,RM,5790,Normal,107400
76,180,RM,1596,Normal,91000
77,20,RL,8475,Normal,135750
78,50,RM,8635,Normal,127000
79,90,RL,10778,Normal,136500
80,50,RM,10440,Normal,110000
81,60,RL,13000,Normal,193500
82,120,RM,4500,Normal,153500
83,20,RL,10206,Normal,245000
84,20,RL,8892,Normal,126500
85,80,RL,8530,Normal,168500
86,60,RL,16059,Normal,260000
87,60,RL,11911,Normal,174000
88,160,FV,3951,Partial,164500
89,50,C (all),8470,Abnorml,85000
90,20,RL,8070,Normal,123600
91,20,RL,7200,Normal,109900
92,20,RL,8500,Abnorml,98600
93,30,RL,13360,Normal,163500
94,190,C (all),7200,Normal,133900
95,60,RL,9337,Normal,204750
96,60,RL,9765,Normal,185000
97,20,RL,10264,Normal,214000
98,20,RL,10921,Normal,94750
99,30,RL,10625,Abnorml,83000
100,20,RL,9320,Normal,128950
101,20,RL,10603,Normal,205000
102,60,RL,9206,Normal,178000
103,90,RL,7018,Alloca,118964
104,20,RL,10402,Normal,198900
105,50,RM,7758,Normal,169500
106,60,FV,9375,Normal,250000
107,30,RM,10800,Normal,100000
108,20,RM,6000,Partial,115000
109,50,RM,8500,Normal,115000
110,20,RL,11751,Normal,190000
111,50,RL,9525,Normal,136900
112,80,RL,7750,Normal,180000
113,60,RL,9965,Partial,383970
114,20,RL,21000,Abnorml,217000
115,70,RL,7259,Normal,259500
116,160,FV,3230,Normal,176000
117,20,RL,11616,Normal,139000
118,20,RL,8536,Partial,155000
119,60,RL,12376,Normal,320000
120,60,RL,8461,Partial,163990
121,80,RL,21453,Normal,180000
122,50,RM,6060,Normal,100000
123,20,RL,9464,Normal,136000
124,120,RL,7892,Normal,153900
125,20,RL,17043,Normal,181000
126,190,RM,6780,Normal,84500
127,120,RL,4928,Normal,128000
128,45,RM,4388,Normal,87000
129,60,RL,7590,Normal,155000
130,20,RL,8973,Abnorml,150000
131,60,RL,14200,Normal,226000
132,60,RL,12224,Normal,244000
